"ER","date"
96,1948-01-01
95.3,1948-02-01
95.5,1948-03-01
96,1948-04-01
96.6,1948-05-01
96.1,1948-06-01
96.1,1948-07-01
96.4,1948-08-01
96.6,1948-09-01
97.1,1948-10-01
96.7,1948-11-01
96.4,1948-12-01
95,1949-01-01
94.2,1949-02-01
94.4,1949-03-01
94.6,1949-04-01
94.3,1949-05-01
93.6,1949-06-01
93,1949-07-01
93.7,1949-08-01
94.1,1949-09-01
93.9,1949-10-01
94.3,1949-11-01
94,1949-12-01
92.4,1950-01-01
92.1,1950-02-01
92.9,1950-03-01
94,1950-04-01
94.7,1950-05-01
94.4,1950-06-01
94.7,1950-07-01
95.9,1950-08-01
96,1950-09-01
96.7,1950-10-01
96.2,1950-11-01
96.1,1950-12-01
95.6,1951-01-01
95.8,1951-02-01
96.2,1951-03-01
96.8,1951-04-01
97.1,1951-05-01
96.6,1951-06-01
96.7,1951-07-01
97.1,1951-08-01
97,1951-09-01
97.2,1951-10-01
96.8,1951-11-01
97.1,1951-12-01
96.3,1952-01-01
96.2,1952-02-01
96.7,1952-03-01
97,1952-04-01
97.1,1952-05-01
96.8,1952-06-01
96.7,1952-07-01
96.9,1952-08-01
97.3,1952-09-01
97.6,1952-10-01
97.5,1952-11-01
97.5,1952-12-01
96.6,1953-01-01
96.8,1953-02-01
97.1,1953-03-01
97.2,1953-04-01
97.5,1953-05-01
97.3,1953-06-01
97.3,1953-07-01
97.6,1953-08-01
97.4,1953-09-01
97.5,1953-10-01
96.8,1953-11-01
95.8,1953-12-01
94.3,1954-01-01
93.7,1954-02-01
93.6,1954-03-01
93.9,1954-04-01
94.3,1954-05-01
94.3,1954-06-01
94.3,1954-07-01
94.6,1954-08-01
94.7,1954-09-01
95.4,1954-10-01
95.1,1954-11-01
95.2,1954-12-01
94.2,1955-01-01
94.3,1955-02-01
94.8,1955-03-01
95.1,1955-04-01
95.8,1955-05-01
95.6,1955-06-01
96,1955-07-01
96.2,1955-08-01
96.5,1955-09-01
96.6,1955-10-01
96.2,1955-11-01
96.1,1955-12-01
95.3,1956-01-01
95.2,1956-02-01
95.3,1956-03-01
95.9,1956-04-01
95.8,1956-05-01
95.3,1956-06-01
95.6,1956-07-01
96.3,1956-08-01
96.6,1956-09-01
96.9,1956-10-01
96.1,1956-11-01
96,1956-12-01
95.1,1957-01-01
95.3,1957-02-01
95.7,1957-03-01
96,1957-04-01
96.1,1957-05-01
95.4,1957-06-01
95.9,1957-07-01
96.3,1957-08-01
96.3,1957-09-01
96.4,1957-10-01
95.4,1957-11-01
95,1957-12-01
93.2,1958-01-01
92.3,1958-02-01
92.3,1958-03-01
