"NHS","date"
42,1963-01-01
35,1963-02-01
44,1963-03-01
52,1963-04-01
58,1963-05-01
48,1963-06-01
62,1963-07-01
56,1963-08-01
49,1963-09-01
44,1963-10-01
39,1963-11-01
31,1963-12-01
39,1964-01-01
46,1964-02-01
53,1964-03-01
49,1964-04-01
52,1964-05-01
53,1964-06-01
54,1964-07-01
56,1964-08-01
48,1964-09-01
45,1964-10-01
37,1964-11-01
33,1964-12-01
38,1965-01-01
44,1965-02-01
53,1965-03-01
49,1965-04-01
54,1965-05-01
57,1965-06-01
51,1965-07-01
58,1965-08-01
48,1965-09-01
44,1965-10-01
42,1965-11-01
37,1965-12-01
42,1966-01-01
43,1966-02-01
53,1966-03-01
49,1966-04-01
49,1966-05-01
40,1966-06-01
40,1966-07-01
36,1966-08-01
29,1966-09-01
31,1966-10-01
26,1966-11-01
23,1966-12-01
29,1967-01-01
32,1967-02-01
41,1967-03-01
44,1967-04-01
49,1967-05-01
47,1967-06-01
46,1967-07-01
47,1967-08-01
43,1967-09-01
45,1967-10-01
34,1967-11-01
31,1967-12-01
35,1968-01-01
43,1968-02-01
46,1968-03-01
46,1968-04-01
43,1968-05-01
41,1968-06-01
44,1968-07-01
47,1968-08-01
41,1968-09-01
40,1968-10-01
32,1968-11-01
32,1968-12-01
34,1969-01-01
40,1969-02-01
43,1969-03-01
42,1969-04-01
43,1969-05-01
44,1969-06-01
39,1969-07-01
40,1969-08-01
33,1969-09-01
32,1969-10-01
31,1969-11-01
28,1969-12-01
34,1970-01-01
29,1970-02-01
36,1970-03-01
42,1970-04-01
43,1970-05-01
44,1970-06-01
44,1970-07-01
48,1970-08-01
45,1970-09-01
44,1970-10-01
40,1970-11-01
37,1970-12-01
45,1971-01-01
49,1971-02-01
62,1971-03-01
62,1971-04-01
58,1971-05-01
59,1971-06-01
64,1971-07-01
62,1971-08-01
50,1971-09-01
52,1971-10-01
50,1971-11-01
44,1971-12-01
51,1972-01-01
56,1972-02-01
60,1972-03-01
65,1972-04-01
64,1972-05-01
63,1972-06-01
63,1972-07-01
72,1972-08-01
61,1972-09-01
65,1972-10-01
51,1972-11-01
47,1972-12-01
55,1973-01-01
60,1973-02-01
68,1973-03-01
63,1973-04-01
65,1973-05-01
61,1973-06-01
54,1973-07-01
52,1973-08-01
46,1973-09-01
42,1973-10-01
37,1973-11-01
30,1973-12-01
37,1974-01-01
44,1974-02-01
55,1974-03-01
53,1974-04-01
58,1974-05-01
50,1974-06-01
48,1974-07-01
45,1974-08-01
41,1974-09-01
34,1974-10-01
30,1974-11-01
24,1974-12-01
29,1975-01-01
34,1975-02-01
44,1975-03-01
54,1975-04-01
57,1975-05-01
51,1975-06-01
51,1975-07-01
53,1975-08-01
46,1975-09-01
46,1975-10-01
46,1975-11-01
39,1975-12-01
41,1976-01-01
53,1976-02-01
55,1976-03-01
62,1976-04-01
55,1976-05-01
56,1976-06-01
57,1976-07-01
59,1976-08-01
58,1976-09-01
55,1976-10-01
49,1976-11-01
47,1976-12-01
57,1977-01-01
68,1977-02-01
84,1977-03-01
81,1977-04-01
78,1977-05-01
74,1977-06-01
64,1977-07-01
74,1977-08-01
71,1977-09-01
63,1977-10-01
55,1977-11-01
51,1977-12-01
57,1978-01-01
63,1978-02-01
75,1978-03-01
85,1978-04-01
80,1978-05-01
77,1978-06-01
68,1978-07-01
72,1978-08-01
68,1978-09-01
70,1978-10-01
53,1978-11-01
50,1978-12-01
53,1979-01-01
58,1979-02-01
73,1979-03-01
72,1979-04-01
68,1979-05-01
63,1979-06-01
64,1979-07-01
68,1979-08-01
60,1979-09-01
54,1979-10-01
41,1979-11-01
35,1979-12-01
43,1980-01-01
44,1980-02-01
44,1980-03-01
36,1980-04-01
44,1980-05-01
50,1980-06-01
55,1980-07-01
61,1980-08-01
50,1980-09-01
46,1980-10-01
39,1980-11-01
33,1980-12-01
37,1981-01-01
40,1981-02-01
49,1981-03-01
44,1981-04-01
45,1981-05-01
38,1981-06-01
36,1981-07-01
34,1981-08-01
28,1981-09-01
29,1981-10-01
27,1981-11-01
29,1981-12-01
28,1982-01-01
29,1982-02-01
36,1982-03-01
32,1982-04-01
36,1982-05-01
34,1982-06-01
31,1982-07-01
36,1982-08-01
39,1982-09-01
40,1982-10-01
39,1982-11-01
33,1982-12-01
44,1983-01-01
46,1983-02-01
57,1983-03-01
59,1983-04-01
64,1983-05-01
59,1983-06-01
51,1983-07-01
50,1983-08-01
48,1983-09-01
51,1983-10-01
45,1983-11-01
48,1983-12-01
52,1984-01-01
58,1984-02-01
63,1984-03-01
61,1984-04-01
59,1984-05-01
58,1984-06-01
52,1984-07-01
48,1984-08-01
53,1984-09-01
55,1984-10-01
42,1984-11-01
38,1984-12-01
48,1985-01-01
55,1985-02-01
67,1985-03-01
60,1985-04-01
65,1985-05-01
65,1985-06-01
63,1985-07-01
61,1985-08-01
54,1985-09-01
