"DGO","date"
114.535,1992-02-01
120.025,1992-03-01
124.47,1992-04-01
125.822,1992-05-01
122.834,1992-06-01
122.59,1992-07-01
120.411,1992-08-01
120.711,1992-09-01
127.392,1992-10-01
122.374,1992-11-01
126.08,1992-12-01
121.637,1993-01-01
128.854,1993-02-01
126.762,1993-03-01
127.395,1993-04-01
126.529,1993-05-01
130.212,1993-06-01
128.111,1993-07-01
129.378,1993-08-01
127.233,1993-09-01
133.168,1993-10-01
130.391,1993-11-01
133.565,1993-12-01
138.498,1994-01-01
137.141,1994-02-01
136.548,1994-03-01
140.336,1994-04-01
142.63,1994-05-01
145.063,1994-06-01
145.013,1994-07-01
145.884,1994-08-01
145.487,1994-09-01
149.547,1994-10-01
150.038,1994-11-01
152.489,1994-12-01
150.459,1995-01-01
153.856,1995-02-01
152.888,1995-03-01
151.401,1995-04-01
152.838,1995-05-01
150.051,1995-06-01
148.915,1995-07-01
154.372,1995-08-01
160.175,1995-09-01
155.473,1995-10-01
156.146,1995-11-01
163.279,1995-12-01
155.806,1996-01-01
150.773,1996-02-01
164.976,1996-03-01
156.83,1996-04-01
164.502,1996-05-01
164.599,1996-06-01
163.588,1996-07-01
157.31,1996-08-01
165.442,1996-09-01
165.266,1996-10-01
170.783,1996-11-01
162.332,1996-12-01
161.592,1997-01-01
170.206,1997-02-01
167.719,1997-03-01
173.671,1997-04-01
168.619,1997-05-01
174.738,1997-06-01
179.142,1997-07-01
176.536,1997-08-01
177.546,1997-09-01
178.973,1997-10-01
191.257,1997-11-01
173.57,1997-12-01
174.244,1998-01-01
181.13,1998-02-01
177.078,1998-03-01
180.941,1998-04-01
180.177,1998-05-01
172.478,1998-06-01
170.354,1998-07-01
178.989,1998-08-01
180.864,1998-09-01
179.307,1998-10-01
182.33,1998-11-01
178.715,1998-12-01
185.997,1999-01-01
185.441,1999-02-01
185.029,1999-03-01
182.692,1999-04-01
186.102,1999-05-01
182.79,1999-06-01
189.069,1999-07-01
189.367,1999-08-01
188.755,1999-09-01
194.56,1999-10-01
186.748,1999-11-01
196.112,1999-12-01
201.377,2000-01-01
184.056,2000-02-01
192.276,2000-03-01
194.776,2000-04-01
188.733,2000-05-01
220.067,2000-06-01
189.426,2000-07-01
188.888,2000-08-01
198.931,2000-09-01
186.599,2000-10-01
189.637,2000-11-01
187.937,2000-12-01
177.029,2001-01-01
180.643,2001-02-01
182.303,2001-03-01
171.658,2001-04-01
178.16,2001-05-01
176.168,2001-06-01
170.154,2001-07-01
170.336,2001-08-01
163.676,2001-09-01
171.983,2001-10-01
163.604,2001-11-01
165.55,2001-12-01
162.536,2002-01-01
171.456,2002-02-01
168.201,2002-03-01
171.448,2002-04-01
172.53,2002-05-01
165.92,2002-06-01
174.903,2002-07-01
177.422,2002-08-01
167.606,2002-09-01
168.37,2002-10-01
170.01,2002-11-01
163.578,2002-12-01
168.85,2003-01-01
173.222,2003-02-01
173.113,2003-03-01
169.571,2003-04-01
170.965,2003-05-01
174.1,2003-06-01
173.679,2003-07-01
173.625,2003-08-01
178.156,2003-09-01
183.646,2003-10-01
182.037,2003-11-01
181.322,2003-12-01
176.629,2004-01-01
180.424,2004-02-01
191.756,2004-03-01
184.334,2004-04-01
183.437,2004-05-01
185.555,2004-06-01
187.201,2004-07-01
185.159,2004-08-01
188.441,2004-09-01
185.339,2004-10-01
192.91,2004-11-01
192.946,2004-12-01
193.056,2005-01-01
195.059,2005-02-01
187.368,2005-03-01
194.871,2005-04-01
206.123,2005-05-01
209.567,2005-06-01
196.698,2005-07-01
205.325,2005-08-01
204.231,2005-09-01
210.148,2005-10-01
222.294,2005-11-01
