vru+line	call_id	customer_id	priority	type	date	vru_entry	vru_exit	vru_time	q_start	q_exit	q_time	outcome	ser_start	ser_exit	ser_time	server
AA0101	34536	0	0	PS	990201	7:02:47	7:02:56	9	0:00:00	0:00:00	0	AGENT	7:02:55	7:05:41	166	DORIT
AA0101	34537	0	0	PS	990201	7:31:45	7:31:55	10	0:00:00	0:00:00	0	AGENT	7:31:54	7:31:59	5	NO_SERVER
AA0101	34538	0	0	NW	990201	7:54:38	7:54:51	13	0:00:00	0:00:00	0	AGENT	7:54:49	7:56:21	92	TOVA
AA0101	34539	23317894	2	PS	990201	8:09:16	8:09:22	6	8:09:22	8:09:27	5	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34540	48178511	2	PS	990201	8:19:42	8:19:47	5	8:19:47	8:20:21	34	AGENT	8:20:20	8:22:04	104	MICHAL
AA0101	34541	64852437	2	PS	990201	8:29:06	8:29:12	6	8:29:12	8:30:20	68	AGENT	8:30:19	8:35:13	294	KAZAV
AA0101	34542	0	0	PS	990201	8:39:42	8:39:53	11	0:00:00	0:00:00	0	AGENT	8:39:52	8:42:20	148	KAZAV
AA0101	34543	0	0	NW	990201	8:48:44	8:48:54	10	8:48:54	8:49:02	8	AGENT	8:49:01	8:50:18	77	YITZ
AA0101	34544	29466273	2	PS	990201	8:55:02	8:55:07	5	8:55:07	8:55:19	12	AGENT	8:55:17	9:01:33	376	MICHAL
AA0101	34545	0	0	PS	990201	9:03:51	9:04:00	9	0:00:00	0:00:00	0	AGENT	9:03:59	9:06:52	173	TOVA
AA0101	34546	0	0	NW	990201	9:17:44	9:17:53	9	9:17:53	9:18:16	23	AGENT	9:18:14	9:19:30	76	MICHAL
AA0101	34547	0	0	PS	990201	9:30:45	9:30:55	10	0:00:00	0:00:00	0	AGENT	9:30:54	9:32:30	96	YITZ
AA0101	34548	0	0	PS	990201	9:42:11	9:42:23	12	0:00:00	0:00:00	0	AGENT	9:42:22	9:56:01	819	ZOHARI
AA0101	34549	0	0	PS	990201	9:50:42	9:50:52	10	0:00:00	0:00:00	0	AGENT	9:50:52	9:53:30	158	YIFAT
AA0101	34550	27849181	1	PS	990201	9:57:59	9:58:05	6	9:58:05	9:58:13	8	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34551	56346398	1	PS	990201	10:03:42	10:03:48	6	10:03:48	10:06:10	142	AGENT	10:06:09	10:08:20	131	MICHAL
AA0101	34552	28481158	2	PS	990201	10:16:08	10:16:14	6	10:16:14	10:16:32	18	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34553	15193808	2	PS	990201	10:26:05	10:26:11	6	10:26:11	10:26:27	16	AGENT	10:26:26	10:37:19	653	TOVA
AA0101	34554	25334251	2	PS	990201	10:37:58	10:38:03	5	10:38:03	10:38:59	56	AGENT	10:38:58	10:39:53	55	YIFAT
AA0101	34555	54052816	2	PS	990201	10:47:21	10:47:27	6	10:47:27	10:47:53	26	AGENT	10:47:52	10:53:12	320	MICHAL
AA0101	34556	3109006	2	PS	990201	10:58:46	10:58:52	6	10:58:52	10:59:10	18	AGENT	10:59:08	11:00:33	85	YITZ
AA0101	34557	0	0	PS	990201	11:08:14	11:08:23	9	0:00:00	0:00:00	0	AGENT	11:08:23	11:14:57	394	GILI
AA0101	34558	9288283	2	PS	990201	11:17:50	11:17:56	6	11:17:56	11:20:34	158	AGENT	11:20:33	11:22:10	97	YITZ
AA0101	34559	0	0	NW	990201	11:28:18	11:28:28	10	11:28:28	11:28:32	4	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34560	11977121	2	PS	990201	11:38:11	11:38:17	6	11:38:17	11:38:31	14	AGENT	11:38:30	11:45:09	399	DARMON
AA0101	34561	0	0	PS	990201	11:47:12	11:47:20	8	0:00:00	0:00:00	0	AGENT	11:47:19	11:50:25	186	MICHAL
AA0101	34562	59765719	2	PS	990201	11:56:47	11:56:52	5	11:56:52	11:57:34	42	HANG	0:00:00	0:00:00	0	NO_SERVER
AA0101	34563	0	0	PS	990201	12:09:15	12:09:24	9	0:00:00	0:00:00	0	AGENT	12:09:23	12:18:27	544	YITZ
AA0101	34564	0	0	PS	990201	12:25:54	12:26:04	10	0:00:00	0:00:00	0	AGENT	12:26:03	12:26:38	35	KAZAV
AA0101	34565	0	0	NE	990201	12:45:20	12:45:30	10	0:00:00	0:00:00	0	AGENT	12:45:29	12:50:00	271	GILI
