Hour,StartTime,Shift1,Shift2,Shift3,Shift4,Shift5,Shift6,Shift7,Shift8
1,Midnight,1,0,0,0,0,0,0,0
2,1am,1,0,0,0,0,0,0,0
3,2am,1,0,0,0,0,0,0,0
4,3am,1,0,0,0,0,0,0,0
5,4am,1,0,0,0,0,0,0,0
6,5am,1,0,0,0,0,0,0,0
7,6am,0,1,0,0,0,0,0,0
8,7am,0,1,0,0,0,0,0,0
9,8am,0,1,1,0,0,0,0,0
10,9am,0,1,1,0,0,0,0,0
11,10am,0,1,1,1,0,0,0,0
12,11am,0,1,1,1,0,0,0,0
13,Noon,0,0,1,1,1,0,0,0
14,1pm,0,0,1,1,1,0,0,0
15,2pm,0,0,0,1,1,1,0,0
16,3pm,0,0,0,1,1,1,0,0
17,4pm,0,0,0,0,1,1,1,0
18,5pm,0,0,0,0,1,1,1,0
19,6pm,0,0,0,0,0,1,1,1
20,7pm,0,0,0,0,0,1,1,1
21,8pm,0,0,0,0,0,0,1,1
22,9pm,0,0,0,0,0,0,1,1
23,10pm,0,0,0,0,0,0,0,1
24,11pm,0,0,0,0,0,0,0,1
